Variable,Description,Type,Units
GCL..IPL.6.3,Grosor de la capa GCL..IPL celda 6.3,Num,Real (µm)
GCL..IPL.6.4,Grosor de la capa GCL..IPL celda 6.4,Num,Real (µm)
GCL..IPL.6.5,Grosor de la capa GCL..IPL celda 6.5,Num,Real (µm)
GCL..IPL.6.6,Grosor de la capa GCL..IPL celda 6.6,Num,Real (µm)
GCL..IPL.6.7,Grosor de la capa GCL..IPL celda 6.7,Num,Real (µm)
GCL..IPL.6.8,Grosor de la capa GCL..IPL celda 6.8,Num,Real (µm)
GCL..IPL.7.1,Grosor de la capa GCL..IPL celda 7.1,Num,Real (µm)
GCL..IPL.7.2,Grosor de la capa GCL..IPL celda 7.2,Num,Real (µm)
GCL..IPL.7.3,Grosor de la capa GCL..IPL celda 7.3,Num,Real (µm)
GCL..IPL.7.4,Grosor de la capa GCL..IPL celda 7.4,Num,Real (µm)
GCL..IPL.7.5,Grosor de la capa GCL..IPL celda 7.5,Num,Real (µm)
GCL..IPL.7.6,Grosor de la capa GCL..IPL celda 7.6,Num,Real (µm)
GCL..IPL.7.7,Grosor de la capa GCL..IPL celda 7.7,Num,Real (µm)
GCL..IPL.7.8,Grosor de la capa GCL..IPL celda 7.8,Num,Real (µm)
GCL..IPL.8.1,Grosor de la capa GCL..IPL celda 8.1,Num,Real (µm)
GCL..IPL.8.2,Grosor de la capa GCL..IPL celda 8.2,Num,Real (µm)
GCL..IPL.8.3,Grosor de la capa GCL..IPL celda 8.3,Num,Real (µm)
GCL..IPL.8.4,Grosor de la capa GCL..IPL celda 8.4,Num,Real (µm)
GCL..IPL.8.5,Grosor de la capa GCL..IPL celda 8.5,Num,Real (µm)
GCL..IPL.8.6,Grosor de la capa GCL..IPL celda 8.6,Num,Real (µm)
GCL..IPL.8.7,Grosor de la capa GCL..IPL celda 8.7,Num,Real (µm)
GCL..IPL.8.8,Grosor de la capa GCL..IPL celda 8.8,Num,Real (µm)
OPL.ELM.1.1,Grosor de la capa OPL-ELM celda 1.1,Num,Real (µm)
OPL.ELM.1.2,Grosor de la capa OPL-ELM celda 1.2,Num,Real (µm)
OPL.ELM.1.3,Grosor de la capa OPL-ELM celda 1.3,Num,Real (µm)
OPL.ELM.1.4,Grosor de la capa OPL-ELM celda 1.4,Num,Real (µm)
OPL.ELM.1.5,Grosor de la capa OPL-ELM celda 1.5,Num,Real (µm)
OPL.ELM.1.6,Grosor de la capa OPL-ELM celda 1.6,Num,Real (µm)
OPL.ELM.1.7,Grosor de la capa OPL-ELM celda 1.7,Num,Real (µm)
OPL.ELM.1.8,Grosor de la capa OPL-ELM celda 1.8,Num,Real (µm)
OPL.ELM.2.1,Grosor de la capa OPL-ELM celda 2.1,Num,Real (µm)
OPL.ELM.2.2,Grosor de la capa OPL-ELM celda 2.2,Num,Real (µm)
OPL.ELM.2.3,Grosor de la capa OPL-ELM celda 2.3,Num,Real (µm)
OPL.ELM.2.4,Grosor de la capa OPL-ELM celda 2.4,Num,Real (µm)
OPL.ELM.2.5,Grosor de la capa OPL-ELM celda 2.5,Num,Real (µm)
OPL.ELM.2.6,Grosor de la capa OPL-ELM celda 2.6,Num,Real (µm)
OPL.ELM.2.7,Grosor de la capa OPL-ELM celda 2.7,Num,Real (µm)
OPL.ELM.2.8,Grosor de la capa OPL-ELM celda 2.8,Num,Real (µm)
OPL.ELM.3.1,Grosor de la capa OPL-ELM celda 3.1,Num,Real (µm)
OPL.ELM.3.2,Grosor de la capa OPL-ELM celda 3.2,Num,Real (µm)
OPL.ELM.3.3,Grosor de la capa OPL-ELM celda 3.3,Num,Real (µm)
OPL.ELM.3.4,Grosor de la capa OPL-ELM celda 3.4,Num,Real (µm)
OPL.ELM.3.5,Grosor de la capa OPL-ELM celda 3.5,Num,Real (µm)
OPL.ELM.3.6,Grosor de la capa OPL-ELM celda 3.6,Num,Real (µm)
OPL.ELM.3.7,Grosor de la capa OPL-ELM celda 3.7,Num,Real (µm)
OPL.ELM.3.8,Grosor de la capa OPL-ELM celda 3.8,Num,Real (µm)
OPL.ELM.4.1,Grosor de la capa OPL-ELM celda 4.1,Num,Real (µm)
OPL.ELM.4.2,Grosor de la capa OPL-ELM celda 4.2,Num,Real (µm)
OPL.ELM.4.3,Grosor de la capa OPL-ELM celda 4.3,Num,Real (µm)
OPL.ELM.4.4,Grosor de la capa OPL-ELM celda 4.4,Num,Real (µm)
OPL.ELM.4.5,Grosor de la capa OPL-ELM celda 4.5,Num,Real (µm)
OPL.ELM.4.6,Grosor de la capa OPL-ELM celda 4.6,Num,Real (µm)
OPL.ELM.4.7,Grosor de la capa OPL-ELM celda 4.7,Num,Real (µm)
OPL.ELM.4.8,Grosor de la capa OPL-ELM celda 4.8,Num,Real (µm)
OPL.ELM.5.1,Grosor de la capa OPL-ELM celda 5.1,Num,Real (µm)
OPL.ELM.5.2,Grosor de la capa OPL-ELM celda 5.2,Num,Real (µm)
OPL.ELM.5.3,Grosor de la capa OPL-ELM celda 5.3,Num,Real (µm)
OPL.ELM.5.4,Grosor de la capa OPL-ELM celda 5.4,Num,Real (µm)
OPL.ELM.5.5,Grosor de la capa OPL-ELM celda 5.5,Num,Real (µm)
OPL.ELM.5.6,Grosor de la capa OPL-ELM celda 5.6,Num,Real (µm)
OPL.ELM.5.7,Grosor de la capa OPL-ELM celda 5.7,Num,Real (µm)
OPL.ELM.5.8,Grosor de la capa OPL-ELM celda 5.8,Num,Real (µm)
OPL.ELM.6.1,Grosor de la capa OPL-ELM celda 6.1,Num,Real (µm)
OPL.ELM.6.2,Grosor de la capa OPL-ELM celda 6.2,Num,Real (µm)
OPL.ELM.6.3,Grosor de la capa OPL-ELM celda 6.3,Num,Real (µm)
OPL.ELM.6.4,Grosor de la capa OPL-ELM celda 6.4,Num,Real (µm)
OPL.ELM.6.5,Grosor de la capa OPL-ELM celda 6.5,Num,Real (µm)
OPL.ELM.6.6,Grosor de la capa OPL-ELM celda 6.6,Num,Real (µm)
OPL.ELM.6.7,Grosor de la capa OPL-ELM celda 6.7,Num,Real (µm)
OPL.ELM.6.8,Grosor de la capa OPL-ELM celda 6.8,Num,Real (µm)
OPL.ELM.7.1,Grosor de la capa OPL-ELM celda 7.1,Num,Real (µm)
OPL.ELM.7.2,Grosor de la capa OPL-ELM celda 7.2,Num,Real (µm)
OPL.ELM.7.3,Grosor de la capa OPL-ELM celda 7.3,Num,Real (µm)
OPL.ELM.7.4,Grosor de la capa OPL-ELM celda 7.4,Num,Real (µm)
OPL.ELM.7.5,Grosor de la capa OPL-ELM celda 7.5,Num,Real (µm)
OPL.ELM.7.6,Grosor de la capa OPL-ELM celda 7.6,Num,Real (µm)
OPL.ELM.7.7,Grosor de la capa OPL-ELM celda 7.7,Num,Real (µm)
OPL.ELM.7.8,Grosor de la capa OPL-ELM celda 7.8,Num,Real (µm)
OPL.ELM.8.1,Grosor de la capa OPL-ELM celda 8.1,Num,Real (µm)
OPL.ELM.8.2,Grosor de la capa OPL-ELM celda 8.2,Num,Real (µm)
OPL.ELM.8.3,Grosor de la capa OPL-ELM celda 8.3,Num,Real (µm)
OPL.ELM.8.4,Grosor de la capa OPL-ELM celda 8.4,Num,Real (µm)
OPL.ELM.8.5,Grosor de la capa OPL-ELM celda 8.5,Num,Real (µm)
OPL.ELM.8.6,Grosor de la capa OPL-ELM celda 8.6,Num,Real (µm)
OPL.ELM.8.7,Grosor de la capa OPL-ELM celda 8.7,Num,Real (µm)
OPL.ELM.8.8,Grosor de la capa OPL-ELM celda 8.8,Num,Real (µm)
INL.OPL.1.1,Grosor de la capa INL-OPL celda 1.1,Num,Real (µm)
INL.OPL.1.2,Grosor de la capa INL-OPL celda 1.2,Num,Real (µm)
INL.OPL.1.3,Grosor de la capa INL-OPL celda 1.3,Num,Real (µm)
INL.OPL.1.4,Grosor de la capa INL-OPL celda 1.4,Num,Real (µm)
INL.OPL.1.5,Grosor de la capa INL-OPL celda 1.5,Num,Real (µm)
INL.OPL.1.6,Grosor de la capa INL-OPL celda 1.6,Num,Real (µm)
INL.OPL.1.7,Grosor de la capa INL-OPL celda 1.7,Num,Real (µm)
INL.OPL.1.8,Grosor de la capa INL-OPL celda 1.8,Num,Real (µm)
INL.OPL.2.1,Grosor de la capa INL-OPL celda 2.1,Num,Real (µm)
INL.OPL.2.2,Grosor de la capa INL-OPL celda 2.2,Num,Real (µm)
INL.OPL.2.3,Grosor de la capa INL-OPL celda 2.3,Num,Real (µm)
INL.OPL.2.4,Grosor de la capa INL-OPL celda 2.4,Num,Real (µm)
INL.OPL.2.5,Grosor de la capa INL-OPL celda 2.5,Num,Real (µm)
INL.OPL.2.6,Grosor de la capa INL-OPL celda 2.6,Num,Real (µm)
INL.OPL.2.7,Grosor de la capa INL-OPL celda 2.7,Num,Real (µm)
INL.OPL.2.8,Grosor de la capa INL-OPL celda 2.8,Num,Real (µm)
INL.OPL.3.1,Grosor de la capa INL-OPL celda 3.1,Num,Real (µm)
INL.OPL.3.2,Grosor de la capa INL-OPL celda 3.2,Num,Real (µm)
INL.OPL.3.3,Grosor de la capa INL-OPL celda 3.3,Num,Real (µm)
INL.OPL.3.4,Grosor de la capa INL-OPL celda 3.4,Num,Real (µm)
INL.OPL.3.5,Grosor de la capa INL-OPL celda 3.5,Num,Real (µm)
INL.OPL.3.6,Grosor de la capa INL-OPL celda 3.6,Num,Real (µm)
INL.OPL.3.7,Grosor de la capa INL-OPL celda 3.7,Num,Real (µm)
INL.OPL.3.8,Grosor de la capa INL-OPL celda 3.8,Num,Real (µm)
INL.OPL.4.1,Grosor de la capa INL-OPL celda 4.1,Num,Real (µm)
INL.OPL.4.2,Grosor de la capa INL-OPL celda 4.2,Num,Real (µm)
INL.OPL.4.3,Grosor de la capa INL-OPL celda 4.3,Num,Real (µm)
INL.OPL.4.4,Grosor de la capa INL-OPL celda 4.4,Num,Real (µm)
INL.OPL.4.5,Grosor de la capa INL-OPL celda 4.5,Num,Real (µm)
INL.OPL.4.6,Grosor de la capa INL-OPL celda 4.6,Num,Real (µm)
INL.OPL.4.7,Grosor de la capa INL-OPL celda 4.7,Num,Real (µm)
INL.OPL.4.8,Grosor de la capa INL-OPL celda 4.8,Num,Real (µm)
INL.OPL.5.1,Grosor de la capa INL-OPL celda 5.1,Num,Real (µm)
INL.OPL.5.2,Grosor de la capa INL-OPL celda 5.2,Num,Real (µm)
INL.OPL.5.3,Grosor de la capa INL-OPL celda 5.3,Num,Real (µm)
INL.OPL.5.4,Grosor de la capa INL-OPL celda 5.4,Num,Real (µm)
INL.OPL.5.5,Grosor de la capa INL-OPL celda 5.5,Num,Real (µm)
INL.OPL.5.6,Grosor de la capa INL-OPL celda 5.6,Num,Real (µm)
INL.OPL.5.7,Grosor de la capa INL-OPL celda 5.7,Num,Real (µm)
INL.OPL.5.8,Grosor de la capa INL-OPL celda 5.8,Num,Real (µm)
INL.OPL.6.1,Grosor de la capa INL-OPL celda 6.1,Num,Real (µm)
INL.OPL.6.2,Grosor de la capa INL-OPL celda 6.2,Num,Real (µm)
INL.OPL.6.3,Grosor de la capa INL-OPL celda 6.3,Num,Real (µm)
INL.OPL.6.4,Grosor de la capa INL-OPL celda 6.4,Num,Real (µm)
INL.OPL.6.5,Grosor de la capa INL-OPL celda 6.5,Num,Real (µm)
INL.OPL.6.6,Grosor de la capa INL-OPL celda 6.6,Num,Real (µm)
INL.OPL.6.7,Grosor de la capa INL-OPL celda 6.7,Num,Real (µm)
INL.OPL.6.8,Grosor de la capa INL-OPL celda 6.8,Num,Real (µm)
INL.OPL.7.1,Grosor de la capa INL-OPL celda 7.1,Num,Real (µm)
INL.OPL.7.2,Grosor de la capa INL-OPL celda 7.2,Num,Real (µm)
INL.OPL.7.3,Grosor de la capa INL-OPL celda 7.3,Num,Real (µm)
INL.OPL.7.4,Grosor de la capa INL-OPL celda 7.4,Num,Real (µm)
INL.OPL.7.5,Grosor de la capa INL-OPL celda 7.5,Num,Real (µm)
INL.OPL.7.6,Grosor de la capa INL-OPL celda 7.6,Num,Real (µm)
INL.OPL.7.7,Grosor de la capa INL-OPL celda 7.7,Num,Real (µm)
INL.OPL.7.8,Grosor de la capa INL-OPL celda 7.8,Num,Real (µm)
INL.OPL.8.1,Grosor de la capa INL-OPL celda 8.1,Num,Real (µm)
INL.OPL.8.2,Grosor de la capa INL-OPL celda 8.2,Num,Real (µm)
INL.OPL.8.3,Grosor de la capa INL-OPL celda 8.3,Num,Real (µm)
INL.OPL.8.4,Grosor de la capa INL-OPL celda 8.4,Num,Real (µm)
INL.OPL.8.5,Grosor de la capa INL-OPL celda 8.5,Num,Real (µm)
INL.OPL.8.6,Grosor de la capa INL-OPL celda 8.6,Num,Real (µm)
INL.OPL.8.7,Grosor de la capa INL-OPL celda 8.7,Num,Real (µm)
INL.OPL.8.8,Grosor de la capa INL-OPL celda 8.8,Num,Real (µm)
ILM.RNFL.1.1,Grosor de la capa ILM-RNFL celda 1.1,Num,Real (µm)
ILM.RNFL.1.2,Grosor de la capa ILM-RNFL celda 1.2,Num,Real (µm)
ILM.RNFL.1.3,Grosor de la capa ILM-RNFL celda 1.3,Num,Real (µm)
ILM.RNFL.1.4,Grosor de la capa ILM-RNFL celda 1.4,Num,Real (µm)
ILM.RNFL.1.5,Grosor de la capa ILM-RNFL celda 1.5,Num,Real (µm)
ILM.RNFL.1.6,Grosor de la capa ILM-RNFL celda 1.6,Num,Real (µm)
ILM.RNFL.1.7,Grosor de la capa ILM-RNFL celda 1.7,Num,Real (µm)
ILM.RNFL.1.8,Grosor de la capa ILM-RNFL celda 1.8,Num,Real (µm)
ILM.RNFL.2.1,Grosor de la capa ILM-RNFL celda 2.1,Num,Real (µm)
ILM.RNFL.2.2,Grosor de la capa ILM-RNFL celda 2.2,Num,Real (µm)
ILM.RNFL.2.3,Grosor de la capa ILM-RNFL celda 2.3,Num,Real (µm)
ILM.RNFL.2.4,Grosor de la capa ILM-RNFL celda 2.4,Num,Real (µm)
ILM.RNFL.2.5,Grosor de la capa ILM-RNFL celda 2.5,Num,Real (µm)
ILM.RNFL.2.6,Grosor de la capa ILM-RNFL celda 2.6,Num,Real (µm)
ILM.RNFL.2.7,Grosor de la capa ILM-RNFL celda 2.7,Num,Real (µm)
ILM.RNFL.2.8,Grosor de la capa ILM-RNFL celda 2.8,Num,Real (µm)
ILM.RNFL.3.1,Grosor de la capa ILM-RNFL celda 3.1,Num,Real (µm)
ILM.RNFL.3.2,Grosor de la capa ILM-RNFL celda 3.2,Num,Real (µm)
ILM.RNFL.3.3,Grosor de la capa ILM-RNFL celda 3.3,Num,Real (µm)
ILM.RNFL.3.4,Grosor de la capa ILM-RNFL celda 3.4,Num,Real (µm)
ILM.RNFL.3.5,Grosor de la capa ILM-RNFL celda 3.5,Num,Real (µm)
ILM.RNFL.3.6,Grosor de la capa ILM-RNFL celda 3.6,Num,Real (µm)
ILM.RNFL.3.7,Grosor de la capa ILM-RNFL celda 3.7,Num,Real (µm)
ILM.RNFL.3.8,Grosor de la capa ILM-RNFL celda 3.8,Num,Real (µm)
ILM.RNFL.4.1,Grosor de la capa ILM-RNFL celda 4.1,Num,Real (µm)
ILM.RNFL.4.2,Grosor de la capa ILM-RNFL celda 4.2,Num,Real (µm)
ILM.RNFL.4.3,Grosor de la capa ILM-RNFL celda 4.3,Num,Real (µm)
ILM.RNFL.4.4,Grosor de la capa ILM-RNFL celda 4.4,Num,Real (µm)
ILM.RNFL.4.5,Grosor de la capa ILM-RNFL celda 4.5,Num,Real (µm)
ILM.RNFL.4.6,Grosor de la capa ILM-RNFL celda 4.6,Num,Real (µm)
ILM.RNFL.4.7,Grosor de la capa ILM-RNFL celda 4.7,Num,Real (µm)
ILM.RNFL.4.8,Grosor de la capa ILM-RNFL celda 4.8,Num,Real (µm)
ILM.RNFL.5.1,Grosor de la capa ILM-RNFL celda 5.1,Num,Real (µm)
ILM.RNFL.5.2,Grosor de la capa ILM-RNFL celda 5.2,Num,Real (µm)
ILM.RNFL.5.3,Grosor de la capa ILM-RNFL celda 5.3,Num,Real (µm)
ILM.RNFL.5.4,Grosor de la capa ILM-RNFL celda 5.4,Num,Real (µm)
ILM.RNFL.5.5,Grosor de la capa ILM-RNFL celda 5.5,Num,Real (µm)
ILM.RNFL.5.6,Grosor de la capa ILM-RNFL celda 5.6,Num,Real (µm)
ILM.RNFL.5.7,Grosor de la capa ILM-RNFL celda 5.7,Num,Real (µm)
ILM.RNFL.5.8,Grosor de la capa ILM-RNFL celda 5.8,Num,Real (µm)
ILM.RNFL.6.1,Grosor de la capa ILM-RNFL celda 6.1,Num,Real (µm)
ILM.RNFL.6.2,Grosor de la capa ILM-RNFL celda 6.2,Num,Real (µm)
ILM.RNFL.6.3,Grosor de la capa ILM-RNFL celda 6.3,Num,Real (µm)
ILM.RNFL.6.4,Grosor de la capa ILM-RNFL celda 6.4,Num,Real (µm)
ILM.RNFL.6.5,Grosor de la capa ILM-RNFL celda 6.5,Num,Real (µm)
ILM.RNFL.6.6,Grosor de la capa ILM-RNFL celda 6.6,Num,Real (µm)
ILM.RNFL.6.7,Grosor de la capa ILM-RNFL celda 6.7,Num,Real (µm)
ILM.RNFL.6.8,Grosor de la capa ILM-RNFL celda 6.8,Num,Real (µm)
ILM.RNFL.7.1,Grosor de la capa ILM-RNFL celda 7.1,Num,Real (µm)
ILM.RNFL.7.2,Grosor de la capa ILM-RNFL celda 7.2,Num,Real (µm)
ILM.RNFL.7.3,Grosor de la capa ILM-RNFL celda 7.3,Num,Real (µm)
ILM.RNFL.7.4,Grosor de la capa ILM-RNFL celda 7.4,Num,Real (µm)
ILM.RNFL.7.5,Grosor de la capa ILM-RNFL celda 7.5,Num,Real (µm)
ILM.RNFL.7.6,Grosor de la capa ILM-RNFL celda 7.6,Num,Real (µm)
ILM.RNFL.7.7,Grosor de la capa ILM-RNFL celda 7.7,Num,Real (µm)
ILM.RNFL.7.8,Grosor de la capa ILM-RNFL celda 7.8,Num,Real (µm)
ILM.RNFL.8.1,Grosor de la capa ILM-RNFL celda 8.1,Num,Real (µm)
ILM.RNFL.8.2,Grosor de la capa ILM-RNFL celda 8.2,Num,Real (µm)
ILM.RNFL.8.3,Grosor de la capa ILM-RNFL celda 8.3,Num,Real (µm)
ILM.RNFL.8.4,Grosor de la capa ILM-RNFL celda 8.4,Num,Real (µm)
ILM.RNFL.8.5,Grosor de la capa ILM-RNFL celda 8.5,Num,Real (µm)
ILM.RNFL.8.6,Grosor de la capa ILM-RNFL celda 8.6,Num,Real (µm)
ILM.RNFL.8.7,Grosor de la capa ILM-RNFL celda 8.7,Num,Real (µm)
ILM.RNFL.8.8,Grosor de la capa ILM-RNFL celda 8.8,Num,Real (µm)
RPE.BM.1.1,Grosor de la capa RPE-BM celda 1.1,Num,Real (µm)
RPE.BM.1.2,Grosor de la capa RPE-BM celda 1.2,Num,Real (µm)
RPE.BM.1.3,Grosor de la capa RPE-BM celda 1.3,Num,Real (µm)
RPE.BM.1.4,Grosor de la capa RPE-BM celda 1.4,Num,Real (µm)
RPE.BM.1.5,Grosor de la capa RPE-BM celda 1.5,Num,Real (µm)
RPE.BM.1.6,Grosor de la capa RPE-BM celda 1.6,Num,Real (µm)
RPE.BM.1.7,Grosor de la capa RPE-BM celda 1.7,Num,Real (µm)
RPE.BM.1.8,Grosor de la capa RPE-BM celda 1.8,Num,Real (µm)
RPE.BM.2.1,Grosor de la capa RPE-BM celda 2.1,Num,Real (µm)
RPE.BM.2.2,Grosor de la capa RPE-BM celda 2.2,Num,Real (µm)
RPE.BM.2.3,Grosor de la capa RPE-BM celda 2.3,Num,Real (µm)
RPE.BM.2.4,Grosor de la capa RPE-BM celda 2.4,Num,Real (µm)
RPE.BM.2.5,Grosor de la capa RPE-BM celda 2.5,Num,Real (µm)
RPE.BM.2.6,Grosor de la capa RPE-BM celda 2.6,Num,Real (µm)
RPE.BM.2.7,Grosor de la capa RPE-BM celda 2.7,Num,Real (µm)
RPE.BM.2.8,Grosor de la capa RPE-BM celda 2.8,Num,Real (µm)
RPE.BM.3.1,Grosor de la capa RPE-BM celda 3.1,Num,Real (µm)
RPE.BM.3.2,Grosor de la capa RPE-BM celda 3.2,Num,Real (µm)
RPE.BM.3.3,Grosor de la capa RPE-BM celda 3.3,Num,Real (µm)
RPE.BM.3.4,Grosor de la capa RPE-BM celda 3.4,Num,Real (µm)
RPE.BM.3.5,Grosor de la capa RPE-BM celda 3.5,Num,Real (µm)
RPE.BM.3.6,Grosor de la capa RPE-BM celda 3.6,Num,Real (µm)
RPE.BM.3.7,Grosor de la capa RPE-BM celda 3.7,Num,Real (µm)
RPE.BM.3.8,Grosor de la capa RPE-BM celda 3.8,Num,Real (µm)
RPE.BM.4.1,Grosor de la capa RPE-BM celda 4.1,Num,Real (µm)
RPE.BM.4.2,Grosor de la capa RPE-BM celda 4.2,Num,Real (µm)
RPE.BM.4.3,Grosor de la capa RPE-BM celda 4.3,Num,Real (µm)
RPE.BM.4.4,Grosor de la capa RPE-BM celda 4.4,Num,Real (µm)
RPE.BM.4.5,Grosor de la capa RPE-BM celda 4.5,Num,Real (µm)
RPE.BM.4.6,Grosor de la capa RPE-BM celda 4.6,Num,Real (µm)
RPE.BM.4.7,Grosor de la capa RPE-BM celda 4.7,Num,Real (µm)
RPE.BM.4.8,Grosor de la capa RPE-BM celda 4.8,Num,Real (µm)
RPE.BM.5.1,Grosor de la capa RPE-BM celda 5.1,Num,Real (µm)
RPE.BM.5.2,Grosor de la capa RPE-BM celda 5.2,Num,Real (µm)
RPE.BM.5.3,Grosor de la capa RPE-BM celda 5.3,Num,Real (µm)
RPE.BM.5.4,Grosor de la capa RPE-BM celda 5.4,Num,Real (µm)
RPE.BM.5.5,Grosor de la capa RPE-BM celda 5.5,Num,Real (µm)
RPE.BM.5.6,Grosor de la capa RPE-BM celda 5.6,Num,Real (µm)
RPE.BM.5.7,Grosor de la capa RPE-BM celda 5.7,Num,Real (µm)
RPE.BM.5.8,Grosor de la capa RPE-BM celda 5.8,Num,Real (µm)
RPE.BM.6.1,Grosor de la capa RPE-BM celda 6.1,Num,Real (µm)
RPE.BM.6.2,Grosor de la capa RPE-BM celda 6.2,Num,Real (µm)
RPE.BM.6.3,Grosor de la capa RPE-BM celda 6.3,Num,Real (µm)
RPE.BM.6.4,Grosor de la capa RPE-BM celda 6.4,Num,Real (µm)
RPE.BM.6.5,Grosor de la capa RPE-BM celda 6.5,Num,Real (µm)
RPE.BM.6.6,Grosor de la capa RPE-BM celda 6.6,Num,Real (µm)
RPE.BM.6.7,Grosor de la capa RPE-BM celda 6.7,Num,Real (µm)
RPE.BM.6.8,Grosor de la capa RPE-BM celda 6.8,Num,Real (µm)
RPE.BM.7.1,Grosor de la capa RPE-BM celda 7.1,Num,Real (µm)
RPE.BM.7.2,Grosor de la capa RPE-BM celda 7.2,Num,Real (µm)
RPE.BM.7.3,Grosor de la capa RPE-BM celda 7.3,Num,Real (µm)
RPE.BM.7.4,Grosor de la capa RPE-BM celda 7.4,Num,Real (µm)
RPE.BM.7.5,Grosor de la capa RPE-BM celda 7.5,Num,Real (µm)
RPE.BM.7.6,Grosor de la capa RPE-BM celda 7.6,Num,Real (µm)
RPE.BM.7.7,Grosor de la capa RPE-BM celda 7.7,Num,Real (µm)
RPE.BM.7.8,Grosor de la capa RPE-BM celda 7.8,Num,Real (µm)
RPE.BM.8.1,Grosor de la capa RPE-BM celda 8.1,Num,Real (µm)
RPE.BM.8.2,Grosor de la capa RPE-BM celda 8.2,Num,Real (µm)
RPE.BM.8.3,Grosor de la capa RPE-BM celda 8.3,Num,Real (µm)
RPE.BM.8.4,Grosor de la capa RPE-BM celda 8.4,Num,Real (µm)
RPE.BM.8.5,Grosor de la capa RPE-BM celda 8.5,Num,Real (µm)
RPE.BM.8.6,Grosor de la capa RPE-BM celda 8.6,Num,Real (µm)
RPE.BM.8.7,Grosor de la capa RPE-BM celda 8.7,Num,Real (µm)
RPE.BM.8.8,Grosor de la capa RPE-BM celda 8.8,Num,Real (µm)
